step,loss
0,2.856434107
50,0.938918948
100,0.810184717
150,0.714456320
200,0.552567840
250,0.360948861
300,0.229317620
350,0.189200670
400,0.250227541
450,0.171764672
500,0.165469632
550,0.163933501
600,0.164286569
650,0.162611470
700,0.163108751
750,0.161754772
800,0.162234202
850,0.163424030
900,0.161905348
950,0.161144435
1000,0.160824433
1050,0.160973147
1100,0.160721436
1150,0.160715461
1200,0.160576060
1250,0.160678446
1300,0.160595983
1350,0.160676733
1400,0.160353601
1450,0.160469338
1500,0.160423726
1550,0.160388157
1600,0.160348713
1650,0.160341054
1700,0.160322011
1750,0.160332173
1800,0.160294026
1850,0.160270095
1900,0.160223722
1950,0.160229534
2000,0.160223559
2050,0.160191298
2100,0.160151944
2150,0.160236001
2200,0.160146400
2250,0.160115212
2300,0.160186902
2350,0.160165861
2400,0.160115704
2450,0.160067528
2500,0.160141662
2550,0.160118014
2600,0.160088152
2650,0.160202652
2700,0.160077482
2750,0.308515489
2800,0.161029294
2850,0.160099939
2900,0.160202727
2950,0.160094842
3000,0.160087198
3050,0.160204589
3100,0.160091504
3150,0.160051540
3200,0.160049200
3250,0.160089299
3300,0.160068795
3350,0.160187215
3400,0.160125345
3450,0.160081685
3500,0.160050914
3550,0.160043761
3600,0.160068393
3650,0.160017118
3700,0.160057455
3750,0.160060853
3800,0.160014331
3850,0.160034820
3900,0.160012752
3950,0.171961203
4000,0.160176277
4050,0.159985960
4100,0.160000190
4150,0.160016999
4200,0.160041496
4250,0.160031050
4300,0.160044521
4350,0.160048887
4400,0.160044029
4450,0.160014272
4500,0.160011530
4550,0.160015568
4600,0.160004184
4650,0.159992769
4700,0.160010979
4750,0.160017133
4800,0.164675131
4850,0.160074100
4900,0.159975931
4950,0.160014242
5000,0.159994155
5050,0.160010442
5100,0.160031930
5150,0.159996912
5200,0.160021231
5250,0.160001591
5300,0.160010889
5350,0.160005614
5400,0.160008416
5450,0.159998313
5500,0.160000250
5550,0.159998104
5600,0.159999073
5650,0.159997702
5700,0.159987226
5750,0.159992054
5800,0.159999982
5850,0.159982070
5900,0.160009950
5950,0.160007611
6000,0.159986243
6050,0.159988165
6100,0.159987703
6150,0.160002664
6200,0.159985840
6250,0.159981653
6300,0.159992829
6350,0.159983650
6400,0.159995481
6450,0.160003647
6500,0.160390511
6550,0.159986481
6600,0.159975603
6650,0.159970328
6700,0.159988284
6750,0.159990564
6800,0.159992993
6850,0.159975827
6900,0.159981921
6950,0.159979388
7000,0.159980223
7050,0.159975842
7100,0.159984693
7150,0.159982637
7200,0.159973487
7250,0.159980416
7300,0.159987494
7350,0.159985378
7400,0.159974366
7450,0.159973249
7500,0.160000294
7550,0.160132661
7600,0.159965545
7650,0.159971222
7700,0.159968510
7750,0.159971043
7800,0.159985125
7850,0.159987077
7900,0.159973845
7950,0.159969881
8000,0.159967944
8050,0.159972653
8100,0.159979239
8150,0.159975231
8200,0.159970477
8250,0.159970284
8300,0.159977525
8350,0.159963563
8400,0.159971833
8450,0.160930738
8500,0.160112679
8550,0.159962535
8600,0.159966126
8650,0.159966365
8700,0.159970328
8750,0.159973338
8800,0.159970239
8850,0.159969091
8900,0.159971043
8950,0.159973249
9000,0.159966886
9050,0.159974009
9100,0.159970045
9150,0.161228731
9200,0.159978092
9250,0.159966752
9300,0.159973711
9350,0.159975812
9400,0.159974694
9450,0.159966603
9500,0.159974501
9550,0.159965709
9600,0.159966990
9650,0.159969673
9700,0.159969375
9750,0.159962609
9800,0.159961820
9850,0.159969091
9900,0.159970909
9950,0.159966856
10000,0.159967616
10050,0.159972265
10100,0.159964398
10150,0.159962788
10200,0.159963742
10250,0.159961894
10300,0.159965247
10350,0.159970507
10400,0.159968153
10450,0.159967676
10500,0.159963027
10550,0.159962192
10600,0.159961164
10650,0.159965023
10700,0.159971818
10750,0.159963951
10800,0.159961075
10850,0.159962267
10900,0.160224125
10950,0.159958184
11000,0.159970731
11050,0.159957916
11100,0.159964308
11150,0.159958079
11200,0.159970060
11250,0.159962282
11300,0.159962922
11350,0.159964025
11400,0.159968883
11450,0.159957558
11500,0.159964278
11550,0.159960762
11600,0.159962237
11650,0.160078585
11700,0.159956530
11750,0.159961194
11800,0.159963042
11850,0.159963071
11900,0.159972280
11950,0.161361501
12000,0.159975424
12050,0.159961358
12100,0.159969792
12150,0.159970015
12200,0.159966007
12250,0.159959838
12300,0.159968466
12350,0.159962058
12400,0.159963131
12450,0.159965277
12500,0.159964859
12550,0.159958109
12600,0.159967855
12650,0.159958974
12700,0.159989640
12750,0.159957767
12800,0.159964189
12850,0.159962893
12900,0.159964800
12950,0.159954011
13000,0.159960285
13050,0.159958512
13100,0.160369128
13150,0.159955621
13200,0.159954891
13250,0.159965545
13300,0.159957156
13350,0.159959853
13400,0.159961373
13450,0.159961194
13500,0.159959346
13550,0.159957230
13600,0.159956694
13650,0.159958705
13700,0.159960493
13750,0.159957856
13800,0.159953743
13850,0.159956515
13900,0.159954607
13950,0.159956336
14000,0.159958154
14050,0.159954250
14100,0.159960151
14150,0.159961283
14200,0.159958050
14250,0.160062879
14300,0.159954682
14350,0.159953594
14400,0.159957454
14450,0.159959674
14500,0.159954160
14550,0.159957603
14600,0.159955919
14650,0.159960881
14700,0.159957543
14750,0.159954190
14800,0.159967780
14850,0.161759034
14900,0.159971714
14950,0.159954518
15000,0.159953997
15050,0.159957007
15100,0.159957796
15150,0.159960926
15200,0.159957841
15250,0.159959957
15300,0.159961194
15350,0.161664516
15400,0.159964383
15450,0.159956023
15500,0.159960464
15550,0.159958735
15600,0.159958467
15650,0.159956872
15700,0.159959316
15750,0.159965634
15800,0.159956887
15850,0.159962609
15900,0.159953892
15950,0.159959525
16000,0.159955010
16050,0.159963876
16100,0.159954384
16150,0.159957156
16200,0.159956306
16250,0.159959584
16300,0.159956172
16350,0.159959257
16400,0.159956425
16450,0.159957826
16500,0.159963876
16550,0.159955531
16600,0.159953028
16650,0.159950942
16700,0.159951791
16750,0.159954056
16800,0.159958884
16850,0.159953773
16900,0.159954384
16950,0.159952521
17000,0.159959823
17050,0.159958214
17100,0.159953967
17150,0.159953177
17200,0.159954458
17250,0.159955010
17300,0.159953862
17350,0.159950733
17400,0.159958333
17450,0.159951597
17500,0.159952462
17550,0.159952670
17600,0.159953326
17650,0.159958184
17700,0.159952626
17750,0.159954146
17800,0.159955457
17850,0.159954935
17900,0.159959704
17950,0.159952283
18000,0.159952775
18050,0.159949914
18100,0.160867661
18150,0.159962133
18200,0.159950376
18250,0.159960702
18300,0.159952402
18350,0.159956753
18400,0.159955785
18450,0.159950316
18500,0.159955353
18550,0.159955278
18600,0.159954295
18650,0.159955740
18700,0.159953088
18750,0.159952015
18800,0.159953430
18850,0.159951106
18900,0.159957260
18950,0.159951583
19000,0.159955040
19050,0.159953132
19100,0.159953833
19150,0.159955159
19200,0.159955129
19250,0.159955263
19300,0.159951687
19350,0.160412699
19400,0.159955770
19450,0.159950927
19500,0.159954488
19550,0.159955651
19600,0.159952536
19650,0.159953073
19700,0.159952328
19750,0.159954533
19800,0.159951165
19850,0.159951434
19900,0.159950748
19950,0.159951434
20000,0.159969971
20050,0.159954116
20100,0.159949884
20150,0.159949750
20200,0.159953371
20250,0.159950361
20300,0.159951299
20350,0.159950703
20400,0.159950539
20450,0.159951970
20500,0.159951627
20550,0.159952119
20600,0.159954652
20650,0.159950957
20700,0.159950614
20750,0.159949005
20800,0.159948602
20850,0.159955487
20900,0.159955934
20950,0.159952730
21000,0.159953877
21050,0.159951583
21100,0.159950301
21150,0.159948781
21200,0.159954458
21250,0.159951285
21300,0.159952179
21350,0.159948140
21400,0.159955785
21450,0.159950897
21500,0.159951195
21550,0.159950703
21600,0.160776094
21650,0.159957916
21700,0.159950331
21750,0.159952626
21800,0.159954578
21850,0.159952387
21900,0.159951761
21950,0.159954712
22000,0.159950808
22050,0.159951076
22100,0.159950659
22150,0.159949586
22200,0.159952298
22250,0.159951076
22300,0.159953818
22350,0.159951016
22400,0.159950107
22450,0.159956753
22500,0.159949452
22550,0.159948230
22600,0.159952298
22650,0.159950182
22700,0.159948885
22750,0.159948811
22800,0.159948707
22850,0.159947246
22900,0.159949988
22950,0.159950644
23000,0.159953386
23050,0.159951314
23100,0.159950480
23150,0.159951806
23200,0.159948692
23250,0.159953445
23300,0.159953013
23350,0.159950599
23400,0.159948692
23450,0.159952387
23500,0.159949884
23550,0.159952089
23600,0.159949467
23650,0.159948096
23700,0.159952834
23750,0.159950390
23800,0.159951463
23850,0.159951270
23900,0.159950733
23950,0.159952849
24000,0.159949198
24050,0.159947649
24100,0.159950823
24150,0.159954920
24200,0.159950525
24250,0.159947217
24300,0.159949407
24350,0.159947440
24400,0.159949660
24450,0.159951046
24500,0.159949988
24550,0.159949288
24600,0.159948036
24650,0.159956276
24700,0.159946322
24750,0.159953043
24800,0.159952581
24850,0.159947827
24900,0.159949943
24950,0.159948900
25000,0.159947276
25050,0.159948200
25100,0.159950748
25150,0.159948796
25200,0.159947380
25250,0.159946948
25300,0.159956977
25350,0.159974813
25400,0.159947425
25450,0.159948975
25500,0.159952343
25550,0.159951091
25600,0.159951150
25650,0.159948900
25700,0.159948885
