step,loss
0,2.793117046
50,1.522144794
100,1.073032618
150,1.032266259
200,1.007853150
250,0.994203925
300,0.988981664
350,0.968906701
400,0.951456845
450,0.922364354
500,0.906491816
550,0.893161416
600,0.882444620
650,0.872754037
700,0.849140167
750,0.829221845
800,0.806838453
850,0.793184459
900,0.780387521
950,0.760180175
1000,0.745831013
1050,0.731605351
1100,0.709341228
1150,0.678118646
1200,0.640547395
1250,0.611911654
1300,0.576740623
1350,0.551100314
1400,0.503132164
1450,0.476247758
1500,0.441159755
1550,0.434867263
1600,0.400136590
1650,0.364128679
1700,0.383262664
1750,0.355371356
1800,0.341259867
1850,0.341963857
1900,0.325857848
1950,0.317001969
2000,0.373680085
2050,0.320453495
2100,0.302978188
2150,0.301760346
2200,0.292568147
2250,0.295552284
2300,0.286769778
2350,0.284627974
2400,0.285990715
2450,0.282511681
2500,0.281339943
2550,0.285656810
2600,0.278380036
2650,0.278772682
2700,0.279298216
2750,0.278046668
2800,0.276054889
2850,0.275011063
2900,0.274469584
2950,0.273981780
3000,0.273981780
3050,0.273622006
3100,0.273369163
3150,0.272033453
3200,0.272553742
3250,0.272009611
3300,0.271281272
3350,0.272219926
3400,0.272664458
3450,0.271068573
3500,0.270340174
3550,0.270553678
3600,0.270438939
3650,0.271181256
3700,0.269844085
3750,0.270443887
3800,0.269939512
3850,0.269793153
3900,0.269538999
3950,0.269799829
4000,0.270132750
4050,0.269510269
4100,0.269407064
4150,0.269068718
4200,0.269352585
4250,0.269175977
4300,0.269448340
4350,0.269349039
4400,0.269039571
4450,0.269049823
4500,0.268804431
4550,0.269073397
4600,0.269285917
4650,0.269597054
4700,0.268623322
4750,0.269160688
4800,0.269169152
4850,0.268399715
4900,0.268564790
4950,0.268781543
5000,0.268631697
5050,0.268492073
5100,0.268431991
5150,0.268490463
5200,0.268118471
5250,0.268565863
5300,0.268239021
5350,0.268254757
5400,0.268613786
5450,0.268039584
5500,0.267998636
5550,0.268221080
5600,0.268225044
5650,0.268142313
5700,0.268870115
5750,0.268281221
5800,0.267899364
5850,0.268287629
5900,0.267950296
5950,0.267747372
6000,0.267837793
6050,0.268148690
6100,0.267962456
6150,0.267862022
6200,0.267962217
6250,0.267797798
6300,0.267744064
6350,0.267793834
6400,0.267658561
6450,0.267770767
6500,0.267637342
6550,0.267809123
6600,0.267785728
6650,0.267576277
6700,0.267632127
6750,0.267883778
6800,0.267829686
6850,0.267881602
6900,0.267576605
6950,0.267575830
7000,0.268042058
7050,0.267920673
7100,0.267547369
7150,0.267511666
7200,0.267450511
7250,0.267592311
7300,0.267546892
7350,0.267405003
7400,0.267427713
7450,0.267630875
7500,0.267450929
7550,0.267622292
7600,0.267598033
7650,0.267331660
7700,0.267269671
7750,0.267595023
7800,0.267664403
7850,0.267528683
7900,0.267427742
7950,0.267374516
8000,0.267279923
8050,0.267430633
8100,0.267352432
8150,0.267288864
8200,0.267372370
8250,0.267485172
8300,0.267537624
8350,0.267336011
8400,0.267296404
8450,0.267369896
8500,0.267313272
8550,0.267244339
8600,0.267287970
8650,0.267473340
8700,0.267228365
8750,0.267213792
8800,0.267109931
8850,0.267401934
8900,0.267136455
8950,0.267280281
9000,0.267472297
9050,0.267222673
9100,0.267268628
9150,0.267382056
9200,0.267283857
9250,0.267347753
9300,0.267242223
9350,0.267311156
9400,0.267293423
9450,0.267256886
9500,0.267227918
9550,0.267258137
9600,0.267338157
9650,0.267168641
9700,0.267250478
9750,0.267054379
9800,0.267099828
9850,0.267134786
9900,0.267259926
9950,0.267127097
10000,0.267145634
10050,0.267105520
10100,0.267312169
10150,0.267123789
10200,0.267162412
10250,0.267123580
10300,0.267182022
10350,0.267156959
10400,0.267194003
10450,0.267194480
10500,0.267164469
10550,0.267109036
10600,0.267058849
10650,0.267116040
10700,0.267230302
10750,0.267087638
10800,0.267198265
10850,0.267007500
10900,0.267032862
10950,0.267129064
11000,0.267029464
11050,0.266957700
11100,0.267189950
11150,0.266997218
11200,0.267035097
11250,0.266936779
11300,0.267104685
11350,0.267230749
11400,0.267111510
11450,0.267132044
11500,0.266986012
11550,0.266921610
11600,0.266945511
11650,0.267008215
11700,0.266961664
11750,0.266902059
11800,0.267000198
11850,0.266997665
11900,0.266969860
11950,0.267031580
12000,0.266988546
12050,0.266949654
12100,0.267023116
12150,0.267014533
12200,0.266912907
12250,0.266936809
12300,0.266990244
12350,0.266974688
12400,0.267030716
12450,0.266874105
12500,0.266942888
12550,0.266912460
12600,0.266887158
12650,0.266880214
12700,0.266921580
12750,0.266966194
12800,0.266962111
12850,0.267070174
12900,0.266849369
12950,0.266861022
13000,0.266922802
13050,0.266927510
13100,0.266921788
13150,0.266969055
13200,0.267030388
13250,0.266914427
13300,0.266918987
13350,0.266843587
13400,0.266942024
13450,0.266968668
13500,0.266957462
13550,0.266900718
13600,0.266894341
13650,0.266837150
13700,0.266992182
13750,0.266841322
13800,0.266913563
13850,0.266819894
13900,0.266906351
13950,0.266847342
14000,0.266856134
14050,0.266914278
14100,0.266817451
14150,0.266861171
14200,0.266865939
14250,0.266791582
14300,0.266807199
14350,0.266904116
14400,0.266834319
14450,0.266918540
14500,0.266858310
14550,0.266870081
14600,0.266878694
14650,0.266813427
14700,0.266888678
14750,0.266858608
14800,0.266796291
14850,0.266932875
14900,0.266811460
14950,0.266854286
15000,0.266869932
15050,0.266786277
15100,0.266916871
15150,0.266828269
15200,0.266849846
15250,0.266825587
15300,0.266763717
15350,0.266799062
15400,0.266805530
15450,0.266814798
15500,0.266770929
15550,0.266834766
15600,0.266858160
15650,0.266836375
15700,0.266783506
15750,0.266801447
15800,0.266834676
15850,0.266794652
15900,0.266801417
15950,0.266841948
16000,0.266817778
16050,0.266809076
16100,0.266861171
16150,0.266746730
16200,0.266745955
16250,0.266781390
16300,0.266765654
16350,0.266791284
16400,0.266781300
16450,0.266759455
16500,0.266870558
16550,0.266734600
16600,0.266740650
16650,0.266938657
16700,0.266774327
16750,0.266850650
16800,0.266845375
16850,0.266857803
16900,0.266787708
16950,0.266686380
17000,0.266775697
17050,0.266744137
17100,0.266802549
17150,0.266700447
17200,0.266757786
17250,0.266747922
17300,0.266749948
17350,0.266784906
17400,0.266783237
17450,0.266782820
17500,0.266759783
17550,0.266753882
17600,0.266671389
17650,0.266693056
17700,0.266742676
17750,0.266770661
17800,0.266760170
17850,0.266721517
17900,0.266746551
17950,0.266793281
18000,0.266729116
18050,0.266809940
18100,0.266785979
18150,0.266750604
18200,0.266705364
18250,0.266722918
18300,0.266769767
18350,0.266754270
18400,0.266725689
18450,0.266718149
18500,0.266678005
18550,0.266833246
18600,0.266737759
18650,0.266682714
18700,0.266731739
18750,0.266721934
18800,0.266732574
18850,0.266726047
18900,0.266762137
18950,0.266704291
19000,0.266894549
19050,0.266738951
19100,0.266676873
19150,0.266723752
19200,0.266695410
19250,0.266752481
19300,0.266705990
19350,0.266797751
19400,0.266701460
19450,0.266671151
19500,0.266720355
19550,0.266763479
19600,0.266729653
19650,0.266680479
19700,0.266718000
19750,0.266661525
19800,0.266687810
19850,0.266735077
19900,0.266679019
19950,0.266718805
20000,0.266716510
20050,0.266751528
20100,0.266770840
20150,0.266796380
20200,0.266724199
20250,0.266658545
20300,0.266706437
20350,0.266684055
20400,0.266677946
20450,0.266782552
20500,0.266709685
20550,0.266712785
20600,0.266695559
20650,0.266719311
20700,0.266678214
20750,0.266665190
20800,0.266761661
20850,0.266647190
20900,0.266711831
20950,0.266731709
21000,0.266665608
21050,0.266774178
21100,0.266653925
21150,0.266706109
21200,0.266716629
21250,0.266678303
21300,0.266696513
21350,0.266698211
21400,0.266673893
21450,0.266623259
21500,0.266842127
21550,0.266636908
21600,0.266668230
21650,0.266648322
21700,0.266619325
21750,0.266646653
21800,0.266693652
21850,0.266619444
21900,0.266706765
21950,0.266713351
22000,0.266686469
22050,0.266719759
22100,0.266753197
22150,0.266639233
22200,0.266683102
22250,0.266686410
22300,0.266674370
22350,0.266674072
22400,0.266675144
22450,0.266621321
22500,0.266675949
22550,0.266713977
22600,0.266684622
