step,loss
0,2.739570141
50,1.899235487
100,1.592463851
150,1.499892235
200,1.362330794
250,1.254544973
300,1.184918404
350,1.109803796
400,1.054739952
450,0.978524566
500,0.952735662
550,0.931329608
600,1.035965562
650,0.906230807
700,0.887691438
750,0.875331342
800,0.869087636
850,0.872153223
900,0.861116827
950,0.848513782
1000,0.852629423
1050,0.841624260
1100,0.835498214
1150,0.836520433
1200,0.827338099
1250,0.820088208
1300,0.822375715
1350,0.808587134
1400,0.803680956
1450,0.810862184
1500,0.811661601
1550,0.793560266
1600,0.790005505
1650,0.785383821
1700,0.775133491
1750,0.766073942
1800,0.755384564
1850,0.755233943
1900,0.742926478
1950,0.737015069
2000,0.728171468
2050,0.724544942
2100,0.718321145
2150,0.715589046
2200,0.765299201
2250,0.708515704
2300,0.704953671
2350,0.700431585
2400,0.697013140
2450,0.692673802
2500,0.689018071
2550,0.686782122
2600,0.682158232
2650,0.685940802
2700,0.677337587
2750,0.670715988
2800,0.666529834
2850,0.704904258
2900,0.660812914
2950,0.666886091
3000,0.657076180
3050,0.650531828
3100,0.646224201
3150,0.644397914
3200,0.641243458
3250,0.636055708
3300,0.633087814
3350,0.632749796
3400,0.627965748
3450,0.625433981
3500,0.639112175
3550,0.620823562
3600,0.621590555
3650,0.650900841
3700,0.612452924
3750,0.608746767
3800,0.619736910
3850,0.604585707
3900,0.603552520
3950,0.601236820
4000,0.601200700
4050,0.596713066
4100,0.595118701
4150,0.593256891
4200,0.597898245
4250,0.589894831
4300,0.595091522
4350,0.586951435
4400,0.587376654
4450,0.583930969
4500,0.608528376
4550,0.581005216
4600,0.582379103
4650,0.577532232
4700,0.588432372
4750,0.579007626
4800,0.575351417
4850,0.573760033
4900,0.584664166
4950,0.571989298
5000,0.577476859
5050,0.574227631
5100,0.571250141
5150,0.568103671
5200,0.567436159
5250,0.568184316
5300,0.566411376
5350,0.607245088
5400,0.562567294
5450,0.567751825
5500,0.562535703
5550,0.561007559
5600,0.562519193
5650,0.560209036
5700,0.566430569
5750,0.560848057
5800,0.559663653
5850,0.578335583
5900,0.557852983
5950,0.556721628
6000,0.567128181
6050,0.555741847
6100,0.554918647
6150,0.554089606
6200,0.553716838
6250,0.556124210
6300,0.561273217
6350,0.552142978
6400,0.554019749
6450,0.551345408
6500,0.551237464
6550,0.592957139
6600,0.551350772
6650,0.550044358
6700,0.568733633
6750,0.554199636
6800,0.555300832
6850,0.548945665
6900,0.549826205
6950,0.573680997
7000,0.548632920
7050,0.548961043
7100,0.547409952
7150,0.548040867
7200,0.550318301
7250,0.561246455
7300,0.545867860
7350,0.592629790
7400,0.545844734
7450,0.547110975
7500,0.616640508
7550,0.544752181
7600,0.546220839
7650,0.550444484
7700,0.554143965
7750,0.544890881
7800,0.543654084
7850,0.545242071
7900,0.542891264
7950,0.543502212
8000,0.544149339
8050,0.542737246
8100,0.543312728
8150,0.552658916
8200,0.541120231
8250,0.543802202
8300,0.541684449
8350,0.540586352
8400,0.559760153
8450,0.539781451
8500,0.540940523
8550,0.540063977
8600,0.566845298
8650,0.540454805
8700,0.540781021
8750,0.541379511
8800,0.538548946
8850,0.541843295
8900,0.537981987
8950,0.549486697
9000,0.537658691
9050,0.538345873
9100,0.537753880
9150,0.538145483
9200,0.536865473
9250,0.538003743
9300,0.536587358
9350,0.543036163
9400,0.537242353
9450,0.535417140
9500,0.536003828
9550,0.535090744
9600,0.535288692
9650,0.540656209
9700,0.535216570
9750,0.537025332
9800,0.534284294
9850,0.534760714
9900,0.537311554
9950,0.535248458
10000,0.534448862
10050,0.534454882
10100,0.534480751
10150,0.533962548
10200,0.533024609
10250,0.534737289
10300,0.532446444
10350,0.532903492
10400,0.535307884
10450,0.532029033
10500,0.531983793
10550,0.532891929
10600,0.559404433
10650,0.531872928
10700,0.531752050
10750,0.531901300
10800,0.531919718
10850,0.533475876
10900,0.530398190
10950,0.530975401
11000,0.529993951
11050,0.530588388
11100,0.530454874
11150,0.530135572
11200,0.531073391
11250,0.538057506
11300,0.529170275
11350,0.531045914
11400,0.529352248
11450,0.532489419
11500,0.529039085
11550,0.532586396
11600,0.529635310
11650,0.528457761
11700,0.528316379
11750,0.528284550
11800,0.529023349
11850,0.527882993
11900,0.527632773
11950,0.528077900
12000,0.526835740
12050,0.527545631
12100,0.526839316
12150,0.527878404
12200,0.526742816
12250,0.531087279
12300,0.527972460
12350,0.526163101
12400,0.529158473
12450,0.529130459
12500,0.530555725
12550,0.525558412
12600,0.527540922
12650,0.526980877
12700,0.528658092
12750,0.525319219
12800,0.529588401
12850,0.533896387
12900,0.525265753
12950,0.524585009
13000,0.528783679
13050,0.525278211
13100,0.526354671
13150,0.524258971
13200,0.541072905
13250,0.523500383
13300,0.525221467
13350,0.525039434
13400,0.525176466
13450,0.523004293
13500,0.522930980
13550,0.523064554
13600,0.523733318
13650,0.523011506
13700,0.529021919
13750,0.522944629
13800,0.522158623
13850,0.524281383
13900,0.522195876
13950,0.526924908
14000,0.521795154
14050,0.521463692
14100,0.521761715
14150,0.524573624
14200,0.521176636
14250,0.522177815
14300,0.520749509
14350,0.520371556
14400,0.521033525
14450,0.523057997
14500,0.520470738
14550,0.520152748
14600,0.529657781
14650,0.520723641
14700,0.519829273
14750,0.520943940
14800,0.521017849
14850,0.522123396
14900,0.519634426
14950,0.519115090
15000,0.518830657
15050,0.523982465
15100,0.519800305
15150,0.518547475
15200,0.518392503
15250,0.518746197
15300,0.518808484
15350,0.528690100
15400,0.518289268
15450,0.520499170
15500,0.520144939
15550,0.518137693
15600,0.530408621
15650,0.519090474
15700,0.545313776
15750,0.517313361
15800,0.516954184
15850,0.516842425
15900,0.516747236
15950,0.519896090
16000,0.516834199
16050,0.516399264
16100,0.516513944
16150,0.519975245
16200,0.515910149
16250,0.517270029
16300,0.516117752
16350,0.518385470
16400,0.517534733
16450,0.516146958
16500,0.519963026
16550,0.516363561
16600,0.515379786
16650,0.515830517
16700,0.515980124
16750,0.514523983
16800,0.515445590
16850,0.516341686
16900,0.514939189
16950,0.518958747
17000,0.515569329
17050,0.517551243
17100,0.515891075
17150,0.516060114
17200,0.516682804
17250,0.514265597
17300,0.513837039
17350,0.513973057
17400,0.513809621
17450,0.513474941
17500,0.522048295
17550,0.512846231
17600,0.513753712
17650,0.513347149
17700,0.513536930
17750,0.512398481
17800,0.516311765
17850,0.512533724
17900,0.513038516
17950,0.511824667
18000,0.512157559
18050,0.512963772
18100,0.511799753
18150,0.511509597
18200,0.513724923
18250,0.512324929
18300,0.510940433
18350,0.510960877
18400,0.510854006
18450,0.512938499
18500,0.530160666
18550,0.510783017
18600,0.510370851
18650,0.513129532
18700,0.516357362
18750,0.510772288
18800,0.511689365
18850,0.510033846
18900,0.509930491
18950,0.509765387
19000,0.509862959
19050,0.529706061
19100,0.509600341
19150,0.511374176
19200,0.518558502
19250,0.509035408
19300,0.510103405
19350,0.509157896
19400,0.509053528
19450,0.508745492
19500,0.509642959
19550,0.509612799
19600,0.508877754
19650,0.508981466
19700,0.508191288
19750,0.513248980
19800,0.508874118
19850,0.508252025
19900,0.508725941
19950,0.507484794
20000,0.507280707
20050,0.508763850
20100,0.508173585
20150,0.507933378
20200,0.508184433
20250,0.507437289
20300,0.507011890
20350,0.506520867
20400,0.506778777
20450,0.510080874
20500,0.506842017
20550,0.506494641
20600,0.507539451
20650,0.508330584
20700,0.506586313
20750,0.506489754
20800,0.509314835
20850,0.506296635
20900,0.506443202
20950,0.512780845
21000,0.506098211
21050,0.505712211
21100,0.505560040
21150,0.506331384
