step,train_loss,val_loss
0,2.850800177,2.803330084
50,2.022019758,2.008078113
100,1.738266848,1.730838321
150,1.572387861,1.565778421
200,1.418208722,1.418316726
250,1.343667406,1.388380069
300,1.290287915,1.281930509
350,1.215699831,1.212873021
400,1.177371699,1.178448755
450,1.179130279,1.180298053
500,1.164738202,1.145645046
550,1.119822855,1.126175876
600,1.146129682,1.142284228
650,1.102427095,1.101869434
700,1.085465358,1.085830615
750,1.140037226,1.107116866
800,1.065108105,1.064635560
850,1.062203934,1.063168695
900,1.074794255,1.050390802
950,1.060324637,1.059719411
1000,1.050782462,1.048777123
1050,1.052759360,1.050954889
1100,1.042109546,1.043704745
1150,1.046152443,1.050353557
1200,1.049892635,1.049258739
1250,1.046304185,1.046563286
1300,1.045146413,1.044192143
1350,1.028423607,1.027502358
1400,1.046949072,1.045361621
1450,1.037375802,1.039751643
1500,1.026428911,1.030518147
1550,1.052780016,1.061200006
1600,1.028985457,1.030722455
1650,1.040452226,1.043346449
1700,1.020872960,1.020243595
1750,1.021367964,1.024901685
1800,1.014685563,1.017599753
1850,1.020289330,1.023523001
1900,1.022735252,1.026185825
1950,1.001924005,1.006174650
2000,1.030610903,1.034686133
2050,1.022994428,1.027432888
2100,1.023102043,1.039754150
2150,1.004048192,1.009375237
2200,1.025748177,1.031595512
2250,1.021272342,1.031132560
2300,1.026835351,1.029460399
2350,1.013676740,1.021375991
2400,0.985923038,0.993358241
2450,1.023106209,1.031268707
2500,1.019382561,1.029907728
2550,0.998922750,1.008972927
2600,1.014383023,1.023914760
2650,0.986258240,0.995799155
2700,1.000745090,1.010211440
2750,0.992732837,1.008030012
2800,0.984582231,0.995913312
2850,1.001673802,1.013663515
2900,0.996243232,1.008880907
2950,0.991848348,1.003410040
3000,0.987283196,1.002143648
3050,0.990779616,1.006224908
3100,0.980257717,0.995345500
3150,0.988842145,1.004227355
3200,0.988753269,1.006041775
3250,0.988269342,1.004871441
3300,0.977992145,0.995532600
3350,0.976278820,0.994359949
3400,0.992681433,1.003884662
3450,0.969247977,0.986482482
3500,0.980717219,0.998489119
3550,0.983590080,1.002192272
3600,0.969239998,0.986858475
3650,0.978119709,0.997616627
3700,0.969852494,0.988801109
3750,0.966424432,0.988855389
3800,0.969092999,0.986817811
3850,0.979583629,0.999909409
3900,0.962955766,0.981888406
3950,0.955109789,0.973469867
