step,loss
0,2.800488949
50,1.969480991
100,1.696446896
150,1.513909936
200,1.378127813
250,1.301165223
300,1.220214128
350,1.166734934
400,1.142950654
450,1.112650156
500,1.094167948
550,1.078245163
600,1.071891785
650,1.074050426
700,1.048511624
750,1.040997148
800,1.061726689
850,1.031729698
900,1.026875257
950,1.035527110
1000,1.033548951
1050,1.005517364
1100,1.008340478
1150,0.997762263
1200,0.996224761
1250,0.997249842
1300,1.001726031
1350,0.988578379
1400,0.989320993
1450,0.985709012
1500,0.982750118
1550,0.980268538
1600,0.986136913
1650,0.979123294
1700,0.976592064
1750,0.975641489
1800,0.974075675
1850,0.975443244
1900,0.982530117
1950,0.971942484
2000,0.979052901
2050,0.969641626
2100,0.969107568
2150,0.968081176
2200,0.978522778
2250,0.966237366
2300,0.985899508
2350,0.965078652
2400,0.964014590
2450,0.963853240
2500,0.968337417
2550,0.962152064
2600,0.961616278
2650,0.960243106
2700,0.960843444
2750,0.958258510
2800,0.958187878
2850,0.958532035
2900,0.954834759
2950,0.955062330
3000,0.958008885
3050,0.951448202
3100,0.951009154
3150,0.950592101
3200,0.970209777
3250,0.945798874
3300,0.946252644
3350,0.942945540
3400,0.941880286
3450,0.939801693
3500,0.938960314
3550,0.937480867
3600,0.937282920
3650,0.935898423
3700,0.935149968
3750,0.932992458
3800,0.931516051
3850,0.931022167
3900,0.929369390
3950,0.936750770
4000,0.926638484
4050,0.926878095
4100,0.931228817
4150,0.922488928
4200,0.922343552
4250,0.919875681
4300,0.920214593
4350,0.918175817
4400,0.915552437
4450,0.914020479
4500,0.912682772
4550,0.911117494
4600,0.909942210
4650,0.909142017
4700,0.907127202
4750,0.908642948
4800,0.906017959
4850,0.902150691
4900,0.907104135
4950,0.900071025
5000,0.898204982
5050,0.897290766
5100,0.895590365
5150,0.894194186
5200,0.893286467
5250,0.892099500
5300,0.891646802
5350,0.889707804
5400,0.888285875
5450,0.889359534
5500,0.886705220
5550,0.894367874
5600,0.884649336
5650,0.883576274
5700,0.881876469
5750,0.881338239
5800,0.881751537
5850,0.881117344
5900,0.881882131
5950,0.877372503
6000,0.877299905
6050,0.875601411
6100,0.886372030
6150,0.873867393
6200,0.875716329
6250,0.872466385
6300,0.872300029
6350,0.875537813
6400,0.870665312
6450,0.868319690
6500,0.868306696
6550,0.869006097
6600,0.866465867
6650,0.864698827
6700,0.863517940
6750,0.864382088
6800,0.861596406
6850,0.861197472
6900,0.859332383
6950,0.864897847
7000,0.858552694
7050,0.857914805
7100,0.858648300
7150,0.856222093
7200,0.857603371
7250,0.853389204
